0x01	Têp
0x02	Mới
0x03	Mở
0x04	Lưu
0x05	Lưu Như

0x11	Thoát

0x15	Cửa Sổ
0x16	Chỉnh Sửa Hình Ảnh
0x17	Chỉnh Sửa Dữ Liệu
0x18	Chỉnh Sửa Mã
0x19	Hỗ Trợ Tập Lệnh

0x25	Cài Đặt
0x26	Cấu Hình

0x31	Thẻ
0x32	Sao Chép Thẻ
0x33	Dán Thẻ
0x34	Lưu Thẻ

0x3a	Lọc với tệp CDB
0x3b	Lọc với tệp YDK

0x45	Dữ Liệu
0x46	Xuất dạng zip
0x47	Xuất CardEditorSet
0x48	Xuất Excel
0x49	Nhập CardEditorSet
0x4a	Nhập Excel

0x51	Thay thế

0x61	Hỗ Trợ
0x62	Kiểm tra Mã
0x63	Kiểm tra Cập nhật

0x6a	Thông tin
0x6b	Phiên bản:
0x6c	Được tạo bởi:

0x91	Cơ Sở Dữ Liệu Thẻ
0x92	Tập Lệnh Thẻ
0x93	Hình ảnh Thẻ
0x94	CardEditSet
0x95	Excel

0xab	Các Thẻ đã chọn 
0xac	Các Thẻ hiển thị
0xad	Toàn bộ Thẻ
0xae	Các Thẻ trùng lặp
0xaf	Các Thẻ khác biệt

0xb5	Tìm
0xb6	Tìm gì
0xb7	Tìm tiếp
0xb8	Tìm trước
0xb9	Tìm tất cả

0xc1	Thay thế với
0xc2	Thay  thế tiếp
0xc3	Thay thế tất cả

-------------------------------------
0xe1	Tạo một Cơ Sở Dữ Liệu Thẻ mới.
0xe2	Tạo một Tập Lệnh Thẻ Mới.
0xe3	Tạo một tệp ZIP mới.
0xe4	Mở một Cơ Sở Dữ Liệu Thẻ hiện có.
0xe5	Mở một Tập Lệnh Thẻ hiện có.

0xea	Lưu tất cả các Thẻ trong danh sách vào tệp Cơ Sở Dữ Liệu Thẻ gốc.
0xeb	Lưu tất cả các Thẻ trong danh sách vào tệp CardEditorSet gốc.
0xec	Lưu tất cả các Thẻ trong danh sách vào tệp Excel gốc.
0xed	Lưu nội dung Tập Lệnh hiện tại vào tệp Tập Lệnh gốc.

0xf1	Lưu các Thẻ vào một Tệp Cơ Sở Dữ Liệu Thẻ mới.
0xf2	Lưu các Thẻ đã chọn vào một Tệp Cơ Sở Dữ Liệu Thẻ mới.
0xf3	Lưu các Thẻ đang hiển thị (sau khi áp dụng lọc) vào một Tệp Cơ Sở Dữ Liệu Thẻ mới.
0xf4	Lưu Toàn bộ các Thẻ trong danh sách vào một Tệp Cơ Sở Dữ Liệu Thẻ mới.
0xf5	Lưu nội dung Tập Lệnh hiện tại vào một Tệp Tập Lệnh mới.

0xff	Thoát khỏi ứng dụng.

0x105	Mở một thẻ Chỉnh Sửa Hình Ảnh mới.
0x106	Mở một thẻ Chỉnh Sửa Dữ Liệu mới.
0x107	Mở một thẻ Chỉnh Sửa Mã mới.

0x10a	Mở Cửa Sổ Hỗ Trợ Tập Lệnh.
0x10f	Mở Cửa Sổ Cài Đặt.

0x11a	Sao chép các Thẻ vào Bảng nhớ tạm.
0x11b	Sao chép các Thẻ đã chọn vào Bảng nhớ tạm.
0x11c	Sao chép các Thẻ đang hiển thị (sau khi áp dụng lọc) vào Bảng nhớ tạm.
0x11d	Sao chép Toàn bộ các Thẻ trong danh sách vào Bảng nhớ tạm.
0x11e	Dán Các Thẻ từ Bảng nhớ tạm vào danh sách.

0x125	Lọc và hiển thị các Thẻ trong danh sách sử dụng tệp Cơ Sở Dữ Liệu Thẻ.
0x126	Lọc và hiển thị trong danh sách các Thẻ CÓ XUẤT HIỆN trong Cơ Sở Dữ Liệu Thẻ được chọn.
0x127	Lọc và hiển thị trong danh sách các Thẻ KHÔNG XUẤT HIỆN trong Cơ Sở Dữ Liệu Thẻ được chọn.
0x128	Lọc và hiển thị các Thẻ trong danh sách sử dụng tệp Bộ Bài.
0x129	Lọc và hiển thị trong danh sách các Thẻ CÓ XUẤT HIỆN trong Bộ Bài được chọn.
0x12a	Lọc và hiển thị trong danh sách các Thẻ KHÔNG XUẤT HIỆN trong Bộ Bài được chọn.

0x131	Trích xuất Cơ Sở Dữ Liệu (và tất cả Hình Ảnh, Tập Lệnh của mỗi Thẻ trong Cơ Sở Dữ Liệu) dưới dạng tệp ZIP.
0x132	Trích xuất các Thẻ được chọn.
0x133	Trích xuất các Thẻ đang hiển thị (sau khi áp dụng lọc).
0x134	Trích xuất toàn bộ các Thẻ trong danh sách.

0x13a	Trích xuất các Thẻ dưới dạng tệp CardEditorSet.
0x13b	Trích xuất các Thẻ được chọn.
0x13c	Trích xuất các Thẻ đang hiển thị (sau khi áp dụng lọc).
0x13d	Trích xuất toàn bộ các Thẻ trong danh sách.
0x13e	Nhập các Thẻ từ tệp CardEditorSet vào danh sách.

0x145	Trích xuất các Thẻ dưới dạng tệp Excel.
0x146	Trích xuất các Thẻ được chọn.
0x147	Trích xuất các Thẻ đang hiển thị (sau khi áp dụng lọc).
0x148	Trích xuất toàn bộ các Thẻ trong danh sách.
0x149	Nhập các Thẻ từ tệp Excel vào danh sách.

0x171	Phân tích mã để tìm ra các vấn đề về định dạng và sửa bất kỳ lỗi không nhất quán nào được phát hiện.
0x172	Kiểm tra các bản cập nhật dữ liệu ứng dụng mới nhất.
0x173	Mã nguồn trên Github.

------------------------------
0x180	Nguồn Dữ Liệu
0x181	Duyệt
0x182	Trình Duyệt
0x183	Màu Nền
0x184	Màu Chữ
0x185	Font Chữ
0x186	Cỡ Chữ
0x187	Chủ Đề
0x188	Tô Sáng
0x189	Ngôn Ngữ
0x18a	Kích Thước Ảnh
0x18b	Kích Thước Tem
0x18c	Căn Lề Tem
0x18d	Vị Trí Tem
0x18e	DPI ảnh
0x18f	Sắp xếp

0x1a0	Max Item
0x1a1	Tiêu đề
0x1a2	Ngắt dòng
0x1a3	Ghi đè
0x1a4	Ghi đè Mô tả Hiệu ứng của Thẻ có ID đã tồn tại trong danh sách khi thực hiện thao tác Dán/Nhập.
0x1a5	Bỏ qua các Thẻ có ID đã tồn tại trong danh sách khi thực hiện thao tác Dán và Nhập.
0x1a6	Tự động tìm
0x1a7	Cho phép lưu
0x1a8	Cho phép tạo
0x1a9	Gấp mã
0x1aa	Trò chơi

-----------------------------
0x1c1	Nâng cao
0x1c2	Khác hoa/thường
0x1c3	Khớp tiền tố
0x1c4	Khớp hậu tố
0x1c5	Dùng ký tự đại diện
0x1c6	Chỉ tìm từ hoàn chỉnh
0x1c7	Bỏ qua ký tự dấu câu
0x1c8	Bỏ qua ký tự khoảng trắng

---------------------------
0x1d0	Tạo ảnh
0x1d1	Tạo hình ảnh Thẻ, Sử dụng dữ liệu từ danh sách Thẻ. 
0x1d2	Thư mục ArtWork
0x1d3	Thư mục đầu ra
0x1d4	Loạt
0x1d5	Chung
0x1d6	Vàng
0x1d7	Bạch Kim
0x1d8	Bí Mật
0x1d9	Nền Ảnh
0x1da	Lớp Phủ
---------------------------
0x1e1	Nguyên Mẫu: 
0x1e2	Loại Thẻ: 
0x1e3	Chủng Tộc: 
0x1e4	Thuộc Tính: 
0x1e5	Thông Tin Thẻ
0x1e6	 Tìm kiếm Thẻ
0x1e7	 Tìm kiếm Tập Lệnh
0x1e8	 Tìm tên Scrapi
0x1e9	 Tìm mô tả Scrapi

---------------------------
0x251	ID
0x252	Định Danh
0x253	Bí Danh
0x254	Tên Thẻ
0x255	Hình ảnh mặc định

0x261	Phạm vi
0x262	Loại Thẻ
0x263	Chủng tộc
0x264	Nhân Vật
0x265	Thuộc tính
0x266	SetCode/Nguyên mẫu
0x267	Danh mục

0x271	Cấp
0x272	Cấp âm
0x273	Hạng
0x274	Link
0x275	Link Rating
0x276	Link Arrows
0x277	Pendulum Scale
0x278	Maximum

0x281	Công
0x282	Thủ
0x283	Rộng
0x284	Cao
0x285	Hiếm

0x28a	Chọn ảnh
0x28b	Chọn một hình ảnh thẻ có sẵn. Chuột phải để đặt kích thước hình ảnh thẻ.
0x28c	Chọn Artwork
0x28d	Chọn một hình ảnh Artwork có sẵn.
0x28e	Mã

0x291	Thêm
0x292	Sạch
0x293	Xóa
0x294	Sửa
0x295	Hoàn tác
0x296	Hoàn tác hành động cuối cùng để khôi phục trạng thái trước đó. Chuột phải để làm lại.
0x297	Đặt lại
0x298	Tải lại
0x299	Lọc
0x29a	Tìm kiếm/Lọc Thẻ trong danh sách bằng dữ liệu trên giao diện. Chuột phải để mở menu.
0x29b	Xóa bộ lọc

0x2a1	ID tăng dần
0x2a2	ID giảm dần
0x2a3	Tên tăng dần
0x2a4	Tên giảm dần
0x2a5	Sắp xếp thẻ trong danh sách theo thứ tự:
0x2a6	Chuột phải để sắp xếp theo mặc định.
---------------------------
0x301	Lỗi
0x302	Cảnh Báo
0x303	Thông Tin
0x304	Thông Báo
0x305	Câu Hỏi

0x311	Có
0x312	Không
0x313	Đồng ý
0x314	Hủy bỏ
0x315	Không lưu
0x316	Thêm nó, éo quan tâm.

0x31e	Lỗi nguồn dữ liệu.
0x31f	Nguồn dữ liệu bị thiếu hoặc không tồn tại, hãy kiểm tra Cập nhật và khởi động lại ứng dụng.

